Rk	Player	Age	Team	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Awards
1.0	Landry Shamet	27.0	NYK	SG	1.0	0.0	1.0	36.0	36.0	1.0	0.0	0.0		36.0	36.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	
2.0	Alondes Williams	25.0	DET	SG	1.0	0.0	4.0	18.0	18.0	1.0	9.0	9.0	1.0	9.0	9.0	1.0	1.25	0.0	0.0		0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	45.0	
3.0	James Wiseman	23.0	IND	C	1.0	0.0	5.0	14.4	28.8	0.5	0.0	7.2	0.0	14.4	21.6	0.667	0.5	14.4	14.4	1.0	0.0	7.2	7.2	0.0	0.0	0.0	0.0	0.0	43.2	
4.0	JT Thor	22.0	CLE	PF	4.0	0.0	21.0	12.0	13.7	0.875	5.1	5.1	1.0	6.9	8.6	0.8	1.063	10.3	10.3	1.0	1.7	3.4	5.1	0.0	3.4	5.1	3.4	6.9	39.4	
5.0	Collin Gillespie	25.0	PHO	PG	1.0	0.0	3.0	12.0	24.0	0.5	12.0	12.0	1.0	0.0	12.0	0.0	0.75	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	
6.0	Leonard Miller	21.0	MIN	SF	1.0	0.0	2.0	0.0	0.0		0.0	0.0		0.0	0.0			36.0	36.0	1.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	36.0	
7.0	Alex Reese	25.0	OKC	PF	1.0	0.0	2.0	18.0	18.0	1.0	0.0	0.0		18.0	18.0	1.0	1.0	0.0	0.0		18.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	36.0	
8.0	Giannis Antetokounmpo	30.0	MIL	PF	24.0	24.0	840.0	13.2	21.5	0.613	0.2	0.8	0.222	13.0	20.7	0.627	0.617	7.2	11.7	0.614	2.1	9.9	11.9	6.2	0.7	1.5	3.5	2.4	33.6	
9.0	A.J. Lawson	24.0	TOR	SG	2.0	0.0	10.0	10.8	14.4	0.75	7.2	7.2	1.0	3.6	7.2	0.5	1.0	3.6	7.2	0.5	0.0	7.2	7.2	0.0	0.0	0.0	0.0	0.0	32.4	
10.0	Shai Gilgeous-Alexander	26.0	OKC	PG	29.0	29.0	1008.0	11.3	21.9	0.516	2.3	6.5	0.354	9.0	15.5	0.584	0.568	7.3	8.3	0.88	0.9	5.0	5.9	6.4	2.0	1.1	2.7	2.2	32.2	
